t,soc_batt,V_batt,soc_fgic,V_fgic
27.500000,0.980903,4.063508,0.935907,4.063465
27.750000,0.980729,4.063386,0.936871,4.063743
28.000000,0.980556,4.063266,0.937360,4.063325
28.250000,0.980382,4.063146,0.938043,4.063226
28.500000,0.980208,4.063027,0.938509,4.062822
28.750000,0.980035,4.062909,0.938967,4.062501
29.000000,0.979861,4.062792,0.939786,4.062734
29.250000,0.979687,4.062676,0.940644,4.063040
29.500000,0.979514,4.062560,0.941025,4.062726
29.750000,0.979340,4.062445,0.941741,4.062922
30.000000,0.979167,4.062330,0.941915,4.062344
30.250000,0.978993,4.062217,0.942177,4.061832
30.500000,0.978819,4.062104,0.943157,4.062452
30.750000,0.978646,4.061991,0.943513,4.062100
31.000000,0.978472,4.061879,0.943929,4.061863
31.250000,0.978299,4.061768,0.944668,4.062165
31.500000,0.978125,4.061657,0.944769,4.061506
31.750000,0.977951,4.061547,0.945496,4.061869
32.000000,0.977778,4.061437,0.945940,4.061776
32.250000,0.977604,4.061327,0.946390,4.061741
32.500000,0.977431,4.061218,0.946756,4.061661
32.750000,0.977257,4.061110,0.946890,4.061252
33.000000,0.977083,4.061002,0.947532,4.061474
33.250000,0.976910,4.060894,0.947735,4.061156
33.500000,0.976736,4.060787,0.947961,4.060892
33.750000,0.976562,4.060680,0.947984,4.060309
34.000000,0.976389,4.060574,0.948835,4.061047
34.250000,0.976215,4.060467,0.948724,4.060264
34.500000,0.976042,4.060362,0.949477,4.060822
34.750000,0.975868,4.060256,0.949449,4.060201
35.000000,0.975694,4.060151,0.949732,4.060168
35.250000,0.975521,4.060046,0.950116,4.060171
35.500000,0.975347,4.059942,0.953644,4.060057
35.750000,0.975174,4.059837,0.956202,4.059374
36.000000,0.975000,4.059733,0.956546,4.059694
36.250000,0.974826,4.059629,0.956450,4.059301
36.500000,0.974653,4.059526,0.956552,4.059277
36.750000,0.974479,4.059423,0.956531,4.059053
37.000000,0.974306,4.059319,0.956916,4.059485
37.250000,0.974132,4.059217,0.956927,4.059228
37.500000,0.973958,4.059114,0.957072,4.059249
37.750000,0.973785,4.059012,0.957124,4.059051
38.000000,0.973611,4.058909,0.957004,4.058741
38.250000,0.973437,4.058807,0.957382,4.059155
38.500000,0.973264,4.058705,0.957294,4.058895
38.750000,0.973090,4.058604,0.957110,4.058432
39.000000,0.972917,4.058502,0.957341,4.058655
39.250000,0.972743,4.058401,0.957664,4.058903
39.500000,0.972569,4.058300,0.957148,4.057987
39.750000,0.972396,4.058199,0.957049,4.057738
40.000000,0.972222,4.058098,0.957383,4.058058
40.250000,0.972049,4.057997,0.957328,4.057880
40.500000,0.971875,4.057896,0.957410,4.057836
40.750000,0.971701,4.057796,0.957552,4.057890
41.000000,0.971528,4.057695,0.957579,4.057792
41.250000,0.971354,4.057595,0.957254,4.057138
41.500000,0.971181,4.057495,0.957261,4.057046
41.750000,0.971007,4.057395,0.957787,4.057480
42.000000,0.970833,4.057295,0.958168,4.057726
42.250000,0.970660,4.057195,0.957553,4.056733
42.500000,0.970486,4.057095,0.957825,4.056937
42.750000,0.970312,4.056996,0.957832,4.056844
43.000000,0.970139,4.056896,0.958120,4.057070
43.250000,0.969965,4.056797,0.958276,4.057221
43.500000,0.969792,4.056697,0.957705,4.056322
43.750000,0.969618,4.056598,0.958202,4.056826
44.000000,0.969444,4.056499,0.958451,4.056893
44.250000,0.969271,4.056400,0.958550,4.056765
44.500000,0.969097,4.056301,0.958588,4.056563
44.750000,0.968924,4.056202,0.958137,4.055941
45.000000,0.968750,4.056103,0.958564,4.056401
45.250000,0.968576,4.056004,0.957930,4.055568
45.500000,0.968403,4.055905,0.958258,4.055971
45.750000,0.968229,4.055806,0.958354,4.055931
46.000000,0.968056,4.055708,0.957982,4.055287
46.250000,0.967882,4.055609,0.958372,4.055718
46.500000,0.967708,4.055510,0.958229,4.055542
46.750000,0.967535,4.055412,0.958268,4.055403
47.000000,0.967361,4.055313,0.958173,4.055291
47.250000,0.967187,4.055215,0.958294,4.055386
47.500000,0.967014,4.055117,0.957862,4.054715
47.750000,0.966840,4.055018,0.957870,4.054729
48.000000,0.966667,4.054920,0.957914,4.054802
48.250000,0.966493,4.054822,0.957686,4.054363
48.500000,0.966319,4.054724,0.958196,4.054997
48.750000,0.966146,4.054625,0.957784,4.054290
49.000000,0.965972,4.054527,0.957755,4.054276
49.250000,0.965799,4.054429,0.957567,4.053995
49.500000,0.965625,4.054331,0.957643,4.054024
49.750000,0.965451,4.054233,0.957867,4.054282
50.000000,0.965278,4.054135,0.957506,4.053798
50.250000,0.965104,4.054037,0.957578,4.053903
50.500000,0.964931,4.053939,0.957575,4.053937
50.750000,0.964757,4.053841,0.957354,4.053563
51.000000,0.964583,4.053743,0.957554,4.053696
51.250000,0.964410,4.053645,0.957479,4.053450
51.500000,0.964236,4.053548,0.957607,4.053543
51.750000,0.964062,4.053450,0.957987,4.053859
52.000000,0.963889,4.053352,0.957545,4.053254
52.250000,0.963715,4.053254,0.957824,4.053480
52.500000,0.963542,4.053156,0.957299,4.052766
52.750000,0.963368,4.053059,0.957444,4.052900
53.000000,0.963194,4.052961,0.957555,4.052936
53.250000,0.963021,4.052863,0.957094,4.052429
53.500000,0.962847,4.052766,0.957658,4.052995
53.750000,0.962674,4.052668,0.957347,4.052703
54.000000,0.962500,4.052570,0.956940,4.052151
54.250000,0.962326,4.052473,0.957495,4.052860
54.500000,0.962153,4.052375,0.956968,4.052314
54.750000,0.961979,4.052277,0.956595,4.051978
55.000000,0.961806,4.052180,0.957079,4.052514
55.250000,0.961632,4.052082,0.956618,4.052010
55.500000,0.961458,4.051985,0.956281,4.051667
55.750000,0.961285,4.051887,0.956517,4.051856
56.000000,0.961111,4.051790,0.956314,4.051609
56.250000,0.960937,4.051692,0.956418,4.051690
56.500000,0.960764,4.051595,0.955942,4.051252
56.750000,0.960590,4.051497,0.956045,4.051535
57.000000,0.960417,4.051400,0.956202,4.051596
57.250000,0.960243,4.051302,0.956109,4.051616
57.500000,0.960069,4.051205,0.955586,4.051136
57.750000,0.959896,4.051107,0.955615,4.051308
58.000000,0.959722,4.051010,0.955764,4.051488
58.250000,0.959549,4.050913,0.955449,4.051164
58.500000,0.959375,4.050815,0.954853,4.050549
58.750000,0.959201,4.050718,0.955382,4.051085
59.000000,0.959028,4.050620,0.955493,4.051066
59.250000,0.958854,4.050523,0.955316,4.050978
59.500000,0.958681,4.050425,0.955024,4.050720
59.750000,0.958507,4.050328,0.955057,4.050684
60.000000,0.958333,4.050231,0.954954,4.050587
60.250000,0.958160,4.050133,0.955025,4.050527
60.500000,0.957986,4.050036,0.954542,4.049836
60.750000,0.957812,4.049939,0.954770,4.049978
61.000000,0.957639,4.049841,0.954786,4.050009
61.250000,0.957465,4.049744,0.954440,4.049650
61.500000,0.957292,4.049647,0.954304,4.049424
61.750000,0.957118,4.049549,0.954198,4.049403
62.000000,0.956944,4.049452,0.954178,4.049465
62.250000,0.956771,4.049355,0.953675,4.049037
62.500000,0.956597,4.049257,0.953910,4.049310
62.750000,0.956424,4.049160,0.953740,4.049109
63.000000,0.956250,4.049063,0.953416,4.048851
63.250000,0.956076,4.048965,0.953361,4.048707
63.500000,0.955903,4.048868,0.953603,4.049137
63.750000,0.955729,4.048771,0.953081,4.048450
64.000000,0.955556,4.048673,0.953535,4.049132
64.250000,0.955382,4.048576,0.952867,4.048332
64.500000,0.955208,4.048479,0.953149,4.048577
64.750000,0.955035,4.048382,0.952956,4.048554
65.000000,0.954861,4.048284,0.952645,4.048067
65.250000,0.954687,4.048187,0.953067,4.048537
65.500000,0.954514,4.048090,0.952266,4.047655
65.750000,0.954340,4.047992,0.952802,4.048389
66.000000,0.954167,4.047895,0.952116,4.047481
66.250000,0.953993,4.047798,0.952498,4.048155
66.500000,0.953819,4.047701,0.951745,4.047268
66.750000,0.953646,4.047603,0.952079,4.047756
67.000000,0.953472,4.047506,0.951902,4.047563
67.250000,0.953299,4.047409,0.951711,4.047474
67.500000,0.953125,4.047312,0.951435,4.047335
67.750000,0.952951,4.047214,0.951102,4.046992
68.000000,0.952778,4.047117,0.951287,4.047331
68.250000,0.952604,4.047020,0.950643,4.046640
68.500000,0.952431,4.046923,0.950502,4.046449
68.750000,0.952257,4.046825,0.950516,4.046415
69.000000,0.952083,4.046728,0.950784,4.046936
69.250000,0.951910,4.046631,0.950133,4.046277
69.500000,0.951736,4.046534,0.950188,4.046783
69.750000,0.951562,4.046436,0.950183,4.045958
70.000000,0.951389,4.046339,0.950096,4.045973
70.250000,0.951215,4.046242,0.950731,4.046371
70.500000,0.951042,4.046145,0.950877,4.046592
70.750000,0.950868,4.046048,0.950156,4.045913
71.000000,0.950694,4.045950,0.950203,4.045568
71.250000,0.950521,4.045853,0.950195,4.046316
71.500000,0.950347,4.045756,0.950100,4.045324
71.750000,0.950174,4.045659,0.950457,4.045543
72.000000,0.950000,4.045561,0.949818,4.045218
72.250000,0.949826,4.045395,0.951223,4.045868
72.500000,0.949653,4.045228,0.951074,4.045224
72.750000,0.949479,4.045061,0.951097,4.045561
73.000000,0.949306,4.044895,0.950477,4.044719
73.250000,0.949132,4.044728,0.950343,4.044753
73.500000,0.948958,4.044561,0.950081,4.044551
73.750000,0.948785,4.044395,0.949574,4.044188
74.000000,0.948611,4.044228,0.949669,4.044512
74.250000,0.948437,4.044061,0.949043,4.043581
74.500000,0.948264,4.043895,0.949212,4.044037
74.750000,0.948090,4.043728,0.948758,4.043428
75.000000,0.947917,4.043561,0.948577,4.043307
75.250000,0.947743,4.043395,0.948433,4.043188
75.500000,0.947569,4.043228,0.948433,4.043340
75.750000,0.947396,4.043061,0.948440,4.043465
76.000000,0.947222,4.042895,0.947884,4.042673
76.250000,0.947049,4.042728,0.947987,4.042980
76.500000,0.946875,4.042562,0.947587,4.042467
76.750000,0.946701,4.042395,0.947722,4.042831
77.000000,0.946528,4.042228,0.947264,4.042208
77.250000,0.946354,4.042062,0.947242,4.042337
77.500000,0.946181,4.041895,0.947098,4.042230
77.750000,0.946007,4.041728,0.946877,4.042010
78.000000,0.945833,4.041562,0.946334,4.041295
78.250000,0.945660,4.041395,0.946078,4.041024
78.500000,0.945486,4.041228,0.946319,4.041551
78.750000,0.945312,4.041062,0.945877,4.040985
79.000000,0.945139,4.040895,0.946012,4.041279
79.250000,0.944965,4.040728,0.945405,4.040490
79.500000,0.944792,4.040562,0.945648,4.040994
79.750000,0.944618,4.040395,0.944874,4.039937
80.000000,0.944444,4.040228,0.945011,4.040282
80.250000,0.944271,4.040062,0.945106,4.040515
80.500000,0.944097,4.039895,0.944437,4.039626
80.750000,0.943924,4.039729,0.944560,4.039929
81.000000,0.943750,4.039562,0.944506,4.039941
