t,V_batt,V_fgic
53.000000,4.052961,4.052709
53.250000,4.052863,4.053075
53.500000,4.052766,4.052299
53.750000,4.052668,4.052616
54.000000,4.052570,4.052924
54.250000,4.052473,4.052704
54.500000,4.052375,4.052676
54.750000,4.052277,4.052516
55.000000,4.052180,4.052625
55.250000,4.052082,4.052020
55.500000,4.051985,4.051762
55.750000,4.051887,4.051900
56.000000,4.051790,4.051890
56.250000,4.051692,4.051816
56.500000,4.051595,4.051308
56.750000,4.051497,4.051570
57.000000,4.051400,4.051708
57.250000,4.051302,4.051340
57.500000,4.051205,4.051421
57.750000,4.051107,4.050929
58.000000,4.051010,4.051212
58.250000,4.050913,4.051280
58.500000,4.050815,4.050807
58.750000,4.050718,4.050477
59.000000,4.050620,4.050311
59.250000,4.050523,4.050953
59.500000,4.050425,4.050634
59.750000,4.050328,4.050296
60.000000,4.050231,4.049894
60.250000,4.050133,4.050344
60.500000,4.050036,4.049665
60.750000,4.049939,4.050094
61.000000,4.049841,4.050335
61.250000,4.049744,4.049409
61.500000,4.049647,4.049757
61.750000,4.049549,4.049221
62.000000,4.049452,4.049523
62.250000,4.049355,4.049455
62.500000,4.049257,4.049743
62.750000,4.049160,4.049324
63.000000,4.049063,4.048625
63.250000,4.048965,4.048914
63.500000,4.048868,4.048692
63.750000,4.048771,4.048550
64.000000,4.048673,4.049102
64.250000,4.048576,4.048551
64.500000,4.048479,4.048459
64.750000,4.048382,4.048626
65.000000,4.048284,4.048578
65.250000,4.048187,4.048021
65.500000,4.048090,4.048267
65.750000,4.047992,4.048008
66.000000,4.047895,4.048101
66.250000,4.047798,4.048030
66.500000,4.047701,4.048042
66.750000,4.047603,4.047319
67.000000,4.047506,4.047780
67.250000,4.047409,4.047123
67.500000,4.047312,4.047808
67.750000,4.047214,4.046987
68.000000,4.047117,4.047362
68.250000,4.047020,4.047052
68.500000,4.046923,4.046702
68.750000,4.046825,4.047296
69.000000,4.046728,4.046990
69.250000,4.046631,4.046383
69.500000,4.046534,4.046637
69.750000,4.046436,4.046313
70.000000,4.046339,4.046001
70.250000,4.046242,4.046677
70.500000,4.046145,4.045995
70.750000,4.046048,4.046008
71.000000,4.045950,4.046155
71.250000,4.045853,4.045750
71.500000,4.045756,4.046061
71.750000,4.045659,4.046009
72.000000,4.045561,4.046057
72.250000,4.045395,4.045606
72.500000,4.045228,4.045459
72.750000,4.045061,4.045401
73.000000,4.044895,4.044755
73.250000,4.044728,4.045189
73.500000,4.044561,4.044207
73.750000,4.044395,4.044507
74.000000,4.044228,4.043810
74.250000,4.044061,4.043948
74.500000,4.043895,4.044125
74.750000,4.043728,4.044105
75.000000,4.043561,4.043094
75.250000,4.043395,4.043075
75.500000,4.043228,4.043313
75.750000,4.043061,4.043543
76.000000,4.042895,4.043285
76.250000,4.042728,4.042810
76.500000,4.042562,4.042077
76.750000,4.042395,4.042839
77.000000,4.042228,4.042338
77.250000,4.042062,4.042167
77.500000,4.041895,4.041693
77.750000,4.041728,4.042067
78.000000,4.041562,4.041215
78.250000,4.041395,4.041478
78.500000,4.041228,4.041305
78.750000,4.041062,4.041393
79.000000,4.040895,4.041127
79.250000,4.040728,4.040302
79.500000,4.040562,4.040760
79.750000,4.040395,4.040486
80.000000,4.040228,4.040179
80.250000,4.040062,4.040563
80.500000,4.039895,4.039465
80.750000,4.039729,4.040237
81.000000,4.039562,4.039829
81.250000,4.039395,4.039378
81.500000,4.039229,4.039484
81.750000,4.039062,4.039222
82.000000,4.038895,4.038966
82.250000,4.038729,4.038438
82.500000,4.038562,4.038505
82.750000,4.038395,4.038188
83.000000,4.038229,4.038659
83.250000,4.038062,4.038492
83.500000,4.037895,4.037660
83.750000,4.037729,4.038041
84.000000,4.037562,4.037208
84.250000,4.037396,4.037166
84.500000,4.037229,4.036849
84.750000,4.037062,4.036857
85.000000,4.036896,4.036785
85.250000,4.036729,4.036922
85.500000,4.036562,4.036094
85.750000,4.036396,4.036447
86.000000,4.036229,4.036552
86.250000,4.036062,4.035978
86.500000,4.035896,4.035544
86.750000,4.035729,4.035974
87.000000,4.035563,4.035329
87.250000,4.035396,4.035300
87.500000,4.035229,4.035467
87.750000,4.035063,4.035269
88.000000,4.034896,4.034699
88.250000,4.034729,4.034815
88.500000,4.034563,4.034617
88.750000,4.034396,4.034863
89.000000,4.034229,4.034023
89.250000,4.034063,4.033844
89.500000,4.033896,4.033977
89.750000,4.033730,4.033982
90.000000,4.033563,4.034059
90.250000,4.033396,4.033640
90.500000,4.033230,4.033009
90.750000,4.033063,4.033085
91.000000,4.032896,4.032790
91.250000,4.032730,4.032376
91.500000,4.032563,4.032646
91.750000,4.032397,4.032737
92.000000,4.032230,4.031907
92.250000,4.032063,4.032268
92.500000,4.031897,4.032104
92.750000,4.031730,4.031796
93.000000,4.031563,4.032025
93.250000,4.031397,4.031813
93.500000,4.031230,4.031703
93.750000,4.031063,4.031506
94.000000,4.030897,4.030629
94.250000,4.030730,4.031209
94.500000,4.030564,4.030982
94.750000,4.030397,4.030204
95.000000,4.030230,4.030269
95.250000,4.030064,4.029906
95.500000,4.029897,4.029810
95.750000,4.029730,4.029275
96.000000,4.029564,4.029877
96.250000,4.029397,4.029160
96.500000,4.029231,4.029081
96.750000,4.029064,4.028924
97.000000,4.028897,4.028959
97.250000,4.028731,4.028758
97.500000,4.028564,4.029063
97.750000,4.028397,4.028860
98.000000,4.028231,4.027882
98.250000,4.028064,4.028398
98.500000,4.027898,4.027921
98.750000,4.027731,4.027834
99.000000,4.027564,4.027273
99.250000,4.027398,4.027812
99.500000,4.027231,4.027280
99.750000,4.027064,4.026844
100.000000,4.026898,4.027200
100.250000,4.026731,4.027045
100.500000,4.026565,4.026934
100.750000,4.026398,4.026818
101.000000,4.026231,4.026605
101.250000,4.026065,4.026256
101.500000,4.025898,4.025705
101.750000,4.025731,4.026173
102.000000,4.025565,4.025628
102.250000,4.025398,4.024979
102.500000,4.025232,4.025523
102.750000,4.025065,4.024788
103.000000,4.024898,4.025108
103.250000,4.024732,4.024885
103.500000,4.024565,4.024155
103.750000,4.024398,4.024720
104.000000,4.024232,4.023834
104.250000,4.024065,4.023838
104.500000,4.023899,4.024080
104.750000,4.023732,4.024113
105.000000,4.023565,4.023454
105.250000,4.023399,4.023091
105.500000,4.023232,4.022977
105.750000,4.023065,4.023252
106.000000,4.022899,4.022742
106.250000,4.022732,4.022959
106.500000,4.022566,4.022497
106.750000,4.022399,4.022556
107.000000,4.022232,4.022040
107.250000,4.022066,4.022486
107.500000,4.021899,4.022166
107.750000,4.021732,4.021871
108.000000,4.021566,4.021405
108.250000,4.021399,4.021626
108.500000,4.021233,4.021446
108.750000,4.021066,4.020728
109.000000,4.020899,4.021154
109.250000,4.020733,4.021020
109.500000,4.020566,4.020258
109.750000,4.020400,4.020421
110.000000,4.020233,4.020580
110.250000,4.020066,4.020515
110.500000,4.019900,4.019442
110.750000,4.019733,4.020058
111.000000,4.019566,4.020007
111.250000,4.019400,4.019369
111.500000,4.019233,4.018955
111.750000,4.019067,4.018857
112.000000,4.018900,4.019338
112.250000,4.018733,4.019069
112.500000,4.018567,4.018922
112.750000,4.018400,4.018277
113.000000,4.018233,4.018314
113.250000,4.018067,4.018270
113.500000,4.017900,4.017820
113.750000,4.017734,4.017298
114.000000,4.017567,4.017420
114.250000,4.017400,4.017608
114.500000,4.017234,4.017508
114.750000,4.017067,4.017419
