t,I_batt,Tau_batt,Tau_fgic,C1_batt,C1_fgic
21.500000,2.000000,6.607407,6.636182,1511.945330,1679.305257
21.750000,2.000000,6.607489,6.637173,1512.084230,1675.104307
22.000000,2.000000,6.607571,6.637673,1512.223129,1672.826523
22.250000,2.000000,6.607653,6.638413,1512.362028,1669.212636
22.500000,2.000000,6.607734,6.638518,1512.500927,1668.672692
22.750000,2.000000,6.607816,6.639324,1512.639827,1664.244596
23.000000,2.000000,6.607897,6.639666,1512.778726,1662.189905
23.250000,2.000000,6.607979,6.639958,1512.917625,1660.317133
23.500000,2.000000,6.608060,6.640549,1513.056525,1656.122180
23.750000,2.000000,6.608141,6.640896,1513.195424,1653.311450
24.000000,2.000000,6.608222,6.641050,1513.334323,1651.945539
24.250000,2.000000,6.608303,6.641238,1513.473223,1650.160932
24.500000,2.000000,6.608384,6.641527,1513.612122,1647.040480
24.750000,2.000000,6.608465,6.641829,1513.751021,1643.021195
25.000000,2.000000,6.608545,6.641911,1513.889920,1641.675802
25.250000,2.000000,6.608626,6.642075,1514.028820,1638.395632
25.500000,2.000000,6.608707,6.642160,1514.167719,1636.027238
25.750000,2.000000,6.608787,6.642183,1514.306618,1635.227097
26.000000,2.000000,6.608867,6.642249,1514.445518,1630.450451
26.250000,2.000000,6.608947,6.642241,1514.584417,1628.179525
26.500000,2.000000,6.609028,6.642244,1514.723316,1628.560562
26.750000,2.000000,6.609108,6.642173,1514.862216,1624.478263
27.000000,2.000000,6.609187,6.642154,1515.001115,1623.853641
27.250000,2.000000,6.609267,6.642003,1515.140014,1620.104998
27.500000,2.000000,6.609347,6.641867,1515.278913,1617.670408
27.750000,2.000000,6.609427,6.641701,1515.417813,1615.225303
28.000000,2.000000,6.609506,6.641613,1515.556712,1614.071015
28.250000,2.000000,6.609586,6.641459,1515.695611,1612.246529
28.500000,2.000000,6.609665,6.641385,1515.834511,1611.433323
28.750000,2.000000,6.609744,6.641113,1515.973410,1608.715078
29.000000,2.000000,6.609823,6.640734,1516.112309,1605.411847
29.250000,2.000000,6.609902,6.640854,1516.251208,1606.405954
29.500000,2.000000,6.609981,6.640421,1516.390108,1602.984202
29.750000,2.000000,6.610060,6.640292,1516.529007,1602.051395
30.000000,2.000000,6.610139,6.640100,1516.667906,1600.707683
30.250000,2.000000,6.610217,6.639787,1516.806806,1598.642982
30.500000,2.000000,6.610296,6.639459,1516.945705,1596.623113
30.750000,2.000000,6.610375,6.639404,1517.084604,1596.293425
31.000000,2.000000,6.610453,6.639033,1517.223504,1594.163155
31.250000,2.000000,6.610531,6.638452,1517.362403,1591.057677
31.500000,2.000000,6.610609,6.638391,1517.501302,1590.744521
31.750000,2.000000,6.610687,6.638099,1517.640201,1589.282930
32.000000,2.000000,6.610765,6.637526,1517.779101,1586.563236
32.250000,2.000000,6.610843,6.637171,1517.918000,1584.960771
32.500000,2.000000,6.610921,6.637230,1518.056899,1585.223043
32.750000,2.000000,6.610999,6.636752,1518.195799,1583.142958
33.000000,2.000000,6.611076,6.636679,1518.334698,1582.829554
33.250000,2.000000,6.611154,6.636557,1518.473597,1582.317728
33.500000,2.000000,6.611231,6.635525,1518.612496,1578.170992
33.750000,2.000000,6.611309,6.635948,1518.751396,1579.831809
34.000000,2.000000,6.611386,6.635556,1518.890295,1578.289290
34.250000,2.000000,6.611463,6.635077,1519.029194,1576.469935
34.500000,2.000000,6.611540,6.634785,1519.168094,1575.390622
34.750000,2.000000,6.611617,6.634575,1519.306993,1574.628466
35.000000,2.000000,6.611694,6.633821,1519.445892,1571.971156
35.250000,2.000000,6.611770,6.633575,1519.584791,1571.130849
35.500000,2.000000,6.611847,6.632990,1519.723691,1569.177066
35.750000,2.000000,6.611924,6.633353,1519.862590,1570.381144
36.000000,2.000000,6.612000,6.633172,1520.001489,1569.777986
36.250000,2.000000,6.612076,6.632201,1520.140389,1566.635796
36.500000,2.000000,6.612153,6.631881,1520.279288,1565.633427
36.750000,2.000000,6.612229,6.632286,1520.418187,1566.905396
37.000000,2.000000,6.612305,6.631370,1520.557086,1564.068375
37.250000,2.000000,6.612381,6.631559,1520.695986,1564.644217
37.500000,2.000000,6.612457,6.631531,1520.834885,1564.560618
37.750000,2.000000,6.612532,6.631056,1520.973784,1563.124460
38.000000,2.000000,6.612608,6.630809,1521.112684,1562.390179
38.250000,2.000000,6.612684,6.630307,1521.251583,1560.924598
38.500000,2.000000,6.612759,6.630583,1521.390482,1561.727707
38.750000,2.000000,6.612834,6.630307,1521.529381,1560.920629
39.000000,2.000000,6.612910,6.629705,1521.668281,1559.201613
39.250000,2.000000,6.612985,6.629489,1521.807180,1558.595074
39.500000,2.000000,6.613060,6.629262,1521.946079,1557.962267
39.750000,2.000000,6.613135,6.629253,1522.084979,1557.936408
40.000000,2.000000,6.613210,6.628494,1522.223878,1555.862027
40.250000,2.000000,6.613285,6.628927,1522.362777,1557.039929
40.500000,2.000000,6.613359,6.628776,1522.501676,1556.624112
40.750000,2.000000,6.613434,6.627707,1522.640576,1553.768169
41.000000,2.000000,6.613508,6.628093,1522.779475,1554.787646
41.250000,2.000000,6.613583,6.627648,1522.918374,1553.613293
41.500000,2.000000,6.613657,6.627532,1523.057274,1553.313128
41.750000,2.000000,6.613731,6.627605,1523.196173,1553.500508
42.000000,2.000000,6.613806,6.627414,1523.335072,1553.003754
42.250000,2.000000,6.613880,6.626528,1523.473971,1550.736221
42.500000,2.000000,6.613953,6.627123,1523.612871,1552.252225
42.750000,2.000000,6.614027,6.627059,1523.751770,1552.089308
43.000000,2.000000,6.614101,6.626714,1523.890669,1551.208956
43.250000,2.000000,6.614175,6.626123,1524.029569,1549.724313
43.500000,2.000000,6.614248,6.626219,1524.168468,1549.963668
43.750000,2.000000,6.614322,6.625533,1524.307367,1548.267918
44.000000,2.000000,6.614395,6.625512,1524.446266,1548.216789
44.250000,2.000000,6.614468,6.625035,1524.585166,1547.055984
44.500000,2.000000,6.614541,6.625155,1524.724065,1547.343749
44.750000,2.000000,6.614614,6.624807,1524.862964,1546.507798
45.000000,2.000000,6.614687,6.624838,1525.001864,1546.582579
45.250000,2.000000,6.614760,6.625109,1525.140763,1547.233426
45.500000,2.000000,6.614833,6.625169,1525.279662,1547.378201
45.750000,2.000000,6.614906,6.624594,1525.418561,1545.997399
46.000000,2.000000,6.614978,6.623980,1525.557461,1544.550565
46.250000,2.000000,6.615051,6.624630,1525.696360,1546.086570
46.500000,2.000000,6.615123,6.623742,1525.835259,1543.997039
46.750000,2.000000,6.615195,6.624790,1525.974158,1546.467868
47.000000,2.000000,6.615268,6.624596,1526.113058,1546.004766
47.250000,2.000000,6.615340,6.623946,1526.251957,1544.470184
47.500000,2.000000,6.615412,6.623948,1526.390856,1544.475501
47.750000,2.000000,6.615484,6.623736,1526.529756,1543.984209
48.000000,2.000000,6.615555,6.623203,1526.668655,1542.752886
48.250000,2.000000,6.615627,6.623671,1526.807554,1543.833409
48.500000,2.000000,6.615699,6.624113,1526.946453,1544.865723
48.750000,2.000000,6.615770,6.622791,1527.085353,1541.815737
49.000000,2.000000,6.615842,6.623204,1527.224252,1542.759338
49.250000,2.000000,6.615913,6.623480,1527.363151,1543.393803
49.500000,2.000000,6.615984,6.623368,1527.502051,1543.135320
49.750000,2.000000,6.616055,6.622623,1527.640950,1541.437612
50.000000,2.000000,6.616126,6.623020,1527.779849,1542.339501
50.250000,2.000000,6.616197,6.623026,1527.918748,1542.354132
50.500000,2.000000,6.616268,6.622606,1528.057648,1541.402631
50.750000,2.000000,6.616339,6.622938,1528.196547,1542.154616
51.000000,2.000000,6.616410,6.623340,1528.335446,1543.071812
51.250000,2.000000,6.616480,6.621973,1528.474345,1539.983131
51.500000,2.000000,6.616551,6.622070,1528.613245,1540.198141
51.750000,2.000000,6.616621,6.622830,1528.752144,1541.907078
52.000000,2.000000,6.616691,6.623079,1528.891043,1542.471356
52.250000,2.000000,6.616761,6.621900,1529.029943,1539.820030
52.500000,2.000000,6.616832,6.622446,1529.168842,1541.039608
52.750000,2.000000,6.616902,6.622427,1529.307741,1540.997925
53.000000,2.000000,6.616971,6.622771,1529.446640,1541.772860
53.250000,2.000000,6.617041,6.621788,1529.585540,1539.571716
53.500000,2.000000,6.617111,6.621542,1529.724439,1539.029550
53.750000,2.000000,6.617180,6.622237,1529.863338,1540.571424
54.000000,2.000000,6.617250,6.622004,1530.002237,1540.052052
54.250000,2.000000,6.617319,6.622445,1530.141137,1541.038434
54.500000,2.000000,6.617389,6.622132,1530.280036,1540.336355
54.750000,2.000000,6.617458,6.622348,1530.418935,1540.820887
55.000000,2.000000,6.617527,6.622406,1530.557835,1540.951671
55.250000,2.000000,6.617596,6.621711,1530.696734,1539.405291
55.500000,2.000000,6.617665,6.622420,1530.835633,1540.980392
55.750000,2.000000,6.617734,6.621954,1530.974532,1539.941833
56.000000,2.000000,6.617802,6.622599,1531.113432,1541.385730
56.250000,2.000000,6.617871,6.621497,1531.252331,1538.933032
56.500000,2.000000,6.617940,6.621622,1531.391230,1539.208797
56.750000,2.000000,6.618008,6.622240,1531.530129,1540.579018
57.000000,2.000000,6.618076,6.621492,1531.669029,1538.922096
57.250000,2.000000,6.618145,6.621791,1531.807928,1539.581315
57.500000,2.000000,6.618213,6.622023,1531.946827,1540.095775
57.750000,2.000000,6.618281,6.621535,1532.085726,1539.015383
58.000000,2.000000,6.618349,6.622624,1532.224626,1541.438890
58.250000,2.000000,6.618417,6.621504,1532.363525,1538.947112
58.500000,2.000000,6.618484,6.621923,1532.502424,1539.871239
58.750000,2.000000,6.618552,6.622413,1532.641324,1540.963034
59.000000,2.000000,6.618620,6.621553,1532.780223,1539.053955
59.250000,2.000000,6.618687,6.622406,1532.919122,1540.949083
59.500000,2.000000,6.618754,6.621721,1533.058021,1539.423698
59.750000,2.000000,6.618822,6.622208,1533.196921,1540.504647
60.000000,2.000000,6.618889,6.622614,1533.335820,1541.416009
60.250000,2.000000,6.618956,6.622273,1533.474719,1540.648875
60.500000,2.000000,6.619023,6.621955,1533.613618,1539.942866
60.750000,2.000000,6.619090,6.621413,1533.752518,1538.745819
61.000000,2.000000,6.619157,6.622304,1533.891417,1540.719883
61.250000,2.000000,6.619223,6.621782,1534.030316,1539.558311
61.500000,2.000000,6.619290,6.622016,1534.169215,1540.076385
61.750000,2.000000,6.619356,6.622145,1534.308115,1540.361100
62.000000,2.000000,6.619423,6.621743,1534.447014,1539.468748
62.250000,2.000000,6.619489,6.621522,1534.585913,1538.981785
62.500000,2.000000,6.619555,6.622487,1534.724812,1541.127677
62.750000,2.000000,6.619621,6.622818,1534.863712,1541.874544
63.000000,2.000000,6.619687,6.622865,1535.002611,1541.980887
63.250000,2.000000,6.619753,6.622302,1535.141510,1540.713053
63.500000,2.000000,6.619819,6.621750,1535.280410,1539.483783
63.750000,2.000000,6.619885,6.622525,1535.419309,1541.211084
64.000000,2.000000,6.619951,6.621986,1535.558208,1540.004814
64.250000,2.000000,6.620016,6.621894,1535.697107,1539.801222
64.500000,2.000000,6.620082,6.621815,1535.836007,1539.625507
64.750000,2.000000,6.620147,6.621991,1535.974906,1540.017916
65.000000,2.000000,6.620212,6.622970,1536.113805,1542.220019
65.250000,2.000000,6.620277,6.622714,1536.252704,1541.638221
65.500000,2.000000,6.620342,6.622896,1536.391604,1542.052607
65.750000,2.000000,6.620407,6.622091,1536.530503,1540.237685
66.000000,2.000000,6.620472,6.621941,1536.669402,1539.903965
66.250000,2.000000,6.620537,6.623145,1536.808301,1542.617968
66.500000,2.000000,6.620602,6.622617,1536.947201,1541.418343
66.750000,2.000000,6.620666,6.622026,1537.086100,1540.094411
67.000000,2.000000,6.620731,6.622539,1537.224999,1541.245275
67.250000,2.000000,6.620795,6.623195,1537.363898,1542.735145
67.500000,2.000000,6.620859,6.622082,1537.502798,1540.222518
67.750000,2.000000,6.620923,6.623304,1537.641697,1542.987978
68.000000,2.000000,6.620988,6.622208,1537.780596,1540.503054
68.250000,2.000000,6.621052,6.622178,1537.919495,1540.435447
68.500000,2.000000,6.621115,6.623348,1538.058395,1543.086035
68.750000,2.000000,6.621179,6.622436,1538.197294,1541.013496
69.000000,2.000000,6.621243,6.622645,1538.336193,1541.486423
69.250000,2.000000,6.621307,6.623236,1538.475092,1542.831790
69.500000,2.000000,6.621370,6.623525,1538.613992,1543.498594
69.750000,2.000000,6.621434,6.622437,1538.752891,1541.017816
70.000000,2.000000,6.621497,6.622852,1538.891790,1541.955118
70.250000,2.000000,6.621560,6.623017,1539.030689,1542.331800
70.500000,2.000000,6.621623,6.622844,1539.169589,1541.938380
70.750000,2.000000,6.621686,6.623662,1539.308488,1543.813848
71.000000,2.000000,6.621749,6.623436,1539.447387,1543.290563
71.250000,2.000000,6.621812,6.623731,1539.586286,1543.974013
71.500000,2.000000,6.621875,6.622686,1539.725186,1541.580718
71.750000,2.000000,6.621937,6.623443,1539.864085,1543.310227
72.000000,2.000000,6.622000,6.623515,1540.002984,1543.473955
72.250000,2.000000,6.622062,6.623025,1540.141883,1542.349122
72.500000,2.000000,6.622125,6.623691,1540.280783,1543.882014
72.750000,2.000000,6.622187,6.624002,1540.419682,1544.605719
73.000000,2.000000,6.622249,6.623502,1540.558581,1543.443707
73.250000,2.000000,6.622311,6.623282,1540.697480,1542.936823
73.500000,2.000000,6.622373,6.623633,1540.836380,1543.746054
73.750000,2.000000,6.622435,6.623279,1540.975279,1542.929658
74.000000,2.000000,6.622497,6.623457,1541.114178,1543.340498
74.250000,2.000000,6.622559,6.623509,1541.253077,1543.458291
74.500000,2.000000,6.622620,6.623510,1541.391977,1543.462243
74.750000,2.000000,6.622682,6.624048,1541.530876,1544.714924
75.000000,2.000000,6.622743,6.623560,1541.669775,1543.579673
75.250000,2.000000,6.622804,6.623451,1541.808674,1543.329393
75.500000,2.000000,6.622865,6.623611,1541.947574,1543.697457
75.750000,2.000000,6.622927,6.624127,1542.086473,1544.901130
76.000000,2.000000,6.622988,6.623700,1542.225372,1543.905096
76.250000,2.000000,6.623048,6.624831,1542.364271,1546.572527
